conm,gvkey
AFFINITY GAMING LLC,147571
AFFIRM HOLDINGS INC,37413
AFFIRMATIVE INS HOLDINGS INC,160181
AFFYMETRIX INC,62990
AFG HOLDINGS INC -REDH,33599
AFLAC INC,1449
AFTERMASTER INC,14957
AG&E HOLDINGS INC,11361
AGAPE ATP CORP,34144
AGCO CORP,25180
AGEAGLE AERIAL SYSTEMS,27339
AGENUS INC,129466
AGEX THERAPEUTICS,34469
AGILE THERAPEUTICS INC,20010
AGILENT TECHNOLOGIES INC,126554
AGILETHOUGHT INC,39490
AGILITI INC,31954
AGILON HEALTH INC,38461
AGILYSYS INC,8599
AGIOS PHARMACEUTICALS,18159
AGREE REALTY CORP,30067
AGRIFY CORP,37896
AGRITECH WORLDWIDE INC,123434
AGRITEK HOLDINGS INC,110588
AGROFRESH SOLUTIONS INC,19525
AIM IMMUNOTECH INC,62525
AINOS INC,63446
AIR INDUSTRIES GROUP INC,166087
AIR LEASE CORP,186278
AIR METHODS CORP,13789
AIR PRODUCTS & CHEMICALS INC,1209
AIR T INC,1210
AIR TRANSPORT SERVICES GROUP,155280
AIRBNB INC,37460
AIRGAIN INC,27703
AIRGAS INC,12950
AIRSCULPT TECHNOLO INC,39830
AIRSPAN NETWORKS HOLDINGS IN,137861
AIXIN LIFE INTERNATIONAL INC,33136
AJS BANCORP INC,146581
AK STEEL HOLDING CORP,29968
AKAMAI TECHNOLOGIES INC,125595
AKCEA THERAPEUTICS INC,32046
AKEBIA THERAPEUTICS INC,19859
AKERNA CORP,35354
AKORN OPERATING COMPANY LLC,14304
AKOUSTIS TECHNOLOGIES INC,21042
AKOYA BIOSNCS INC,38527
ALABAMA POWER CO,1225
ALAMO ENERGY CORP,184044
ALAMO GROUP INC,27960
ALANCO TECHNOLOGIES INC,1228
ALARM.COM HOLDINGS INC,24135
ALASKA AIR GROUP INC,1230
ALASKA COMMUNICATIONS SYS GP,126555
ALASKA POWER & TELEPHONE CO,29839
ALAUNOS THERAPEUTICS INC,165215
ALBANY INTL CORP  -CL A,14084
ALBANY MOLECULAR RESH INC,118081
ALBEMARLE CORP,29751
ALBERTSONS COS INC,25645
ALBIREO PHARMA INC,29018
ALCENTRA CAPITAL CORP,20550
ALCOA CORP,27638
ALCOA INC,1356
ALDER BIOPHARMACEUTICALS INC,20033
ALECTOR INC,34616
ALERE INC,146156
ALERIS CORP,13712
ALERISLIFE INC,146500
ALERUS FINANCIAL CORP,18434
ALEXANDER & BALDWIN INC,11756
ALEXANDER'S INC,1257
ALEXANDRIA R E EQUITIES INC,64821
ALEXION PHARMACEUTICALS INC,62263
ALEXZA PHARMACTCLS INC,166414
ALFI INC,37781
ALICO INC,1266
ALIGHT INC,36463
ALIGHT INC -REDH -OLD,34961
ALIGN TECHNOLOGY INC,141384
ALIGNMENT HEALTHCARE INC,38238
ALIGOS THERAPEUTICS INC,37084
ALIMERA SCIENCES INC,180363
ALION SCIENCE AND TECHNOLOGY,162796
ALJ REGIONAL HOLDINGS INC,62582
ALKALINE WATER COMPANY INC,18231
ALKAME HOLDINGS INC,18397
ALKAMI TECHNOLOGY INC,38329
ALLARITY THERAPEUTICS INC,322154
ALLBIRDS INC,39546
ALLDIGITAL HOLDINGS INC,187764
ALLEGHANY CORP,1274
ALLEGHENY ENRG SUPPLY CO LLC,156416
ALLEGHENY VALLEY BANCORP INC,28267
ALLEGIANT TRAVEL CO,175007
ALLEGRO MICROSYSTEMS INC,37309
ALLERGAN INC,15708
ALLETE INC,7437
ALLIANCE BANCORP OF PA,31576
ALLIANCE FIBER OPTIC PRODUCT,141236
ALLIANCE HEALTHCARE SVCS INC,13657
ALLIANCE HOLDINGS GP LP,166363
ALLIANCE LAUNDRY SYSTEMS LLC,145973
ALLIANCE MEDIA HOLDINGS INC,143217
ALLIANCE MMA INC,27868
ALLIANCE RESOURCE PTNRS  -LP,122915
ALLIANCEBERNSTEIN HOLDING LP,14592
ALLIANCEBERNSTEIN LP,16051
ALLIANT ENERGY CORP,11554
ALLIED CORP,36096
ALLIED GAMING & ENTERTAI INC,35552
ALLIED HEALTHCARE PRODS INC,24837
ALLIED MOTION TECHNOLOGIES,5520
ALLIED SECURITY INNOVATIONS,61150
ALLIQUA BIOMEDICAL INC,185495
ALLISON TRANSMISSION HLDGS,177966
ALLOGENE THERAPEUTICS,34161
ALLOVIR INC,36786
ALLSTATE CORP,28349
ALLSTATE LIFE INSURANCE CO,263562
ALLY FINANCIAL INC,5072
ALMOST FAMILY INC,13800
ALNYLAM PHARMACEUTICALS INC,264265
ALON USA ENERGY INC,163939
ALON USA PARTNERS LP,15235
ALPHA ENERGY INC,27594
ALPHA NATURAL RESOURCES INC,162448
ALPHA NETWORK ALLIANCE VNTRS,17392
ALPHA PRO TECH LTD,62072
ALPHA TEKNOVA INC,39051
ALPHABET INC,160329
ALPHATEC HOLDINGS INC,166555
ALPINE 4 HOLDINGS INC,29531
ALPINE BKS COLO,34992
ALPINE IMMUNE SCIENCES INC,32245
ALPINE INCOME PROPERTY TRUST,35793
ALSET INC,36005
ALTA EQUIPMENT GROUP INC,36206
ALTA MESA RESOURCES INC,30428
ALTABA INC,62634
ALTABANCORP,23698
ALTAIR ENGINEERING INC,32530
ALTERA CORP,14324
ALTERYX INC,30655
ALTEVA INC,11291
ALTEX INDUSTRIES INC,12088
ALTICE USA INC,12485
ALTIGEN COMMUNICATIONS INC,124355
ALTIMMUNE INC,31249
ALTISOURCE ASSET MGMT CORP,16720
ALTITUDE INTERNATIONAL INC,32342
ALTO INGREDIENTS INC,163595
ALTRA INDUSTRIAL MOTION CORP,176247
ALTRIA GROUP INC,8543
ALTUS POWER INC,37355
ALX ONCOLOGY HOLDI INC,36704
ALY ENERGY SERVICES INC,17962
AMAG PHARMACEUTICALS INC,12250
AMALGAMATED FINANCIAL CORP,33625
AMAZON.COM INC,64768
AMB FINANCIAL CORP,62527
AMBAC FINANCIAL GROUP INC,24287
AMBASSADORS GROUP INC,147307
AMBER ROAD INC,19989
AMC ENTERTAINMENT HOLDINGS,177637
AMC ENTERTAINMENT INC,164271
AMC NETWORKS INC,187406
AMCON DISTRIBUTING CO,61122
AMEDISYS INC,30612
AMEN PROPERTIES INC,65464
AMERANT BANCORP INC,33999
AMEREN CORP,10860
AMEREN ILLINOIS CO,24868
AMERENENERGY GENERATING CO,154353
AMERESCO INC,185128
AMERI HOLDINGS INC,24199
AMERIANA BANCORP,16637
AMERICA GREAT HEALTH,19317
AMERICA'S CAR-MART INC,13602
AMERICAN AIRLINES GROUP INC,1045
AMERICAN AIRLINES INC,1388
AMERICAN APPAREL INC,179110
AMERICAN ASSETS TRUST INC,185549
AMERICAN AXLE & MFG HOLDINGS,117861
AMERICAN BANK INC/PA,137370
AMERICAN BILTRITE INC,1397
AMERICAN BUSINESS BANK/CA,121073
AMERICAN CAMPUS COMMUNITIES,161048
AMERICAN CAPITAL LTD,65345
AMERICAN CAPITAL SR FLTG LTD,19545
AMERICAN CARESOURCE HLDGS,165785
AMERICAN COMMERCE SOLUTION,142499
AMERICAN CRYOSTEM CORP,187449
AMERICAN DG ENERGY INC,178676
AMERICAN EAGLE ENERGY CORP,160874
AMERICAN ELECTRIC POWER CO,1440
AMERICAN ELECTRIC TECH INC,177446
AMERICAN ENERGY GROUP LTD,17922
AMERICAN EQTY INVT LIFE HLDG,156383
AMERICAN EXPRESS CO,1447
AMERICAN EXPRESS CREDIT CORP,1448
AMERICAN FARMLAND CO,24896
AMERICAN FINANCIAL GROUP INC,8431
AMERICAN HOMES 4 RENT,17639
AMERICAN INDEPENDENCE CORP,10451
AMERICAN INTERNATIONAL GROUP,1487
AMERICAN INTERNATIONAL INDS,66149
AMERICAN INTL VENTURES INC,170974
AMERICAN MIDSTREAM PRT -OLD,186845
AMERICAN MIDSTREAM PTNRS LP,33700
AMERICAN NATIONAL GROUP INC,1526
AMERICAN NATL BANKSHARES,17367
AMERICAN NOBLE GAS INC,23561
AMERICAN OUTDOOR BRANDS,36826
AMERICAN POWER GROUP CORP,61381
AMERICAN PUBLIC EDUCATION,178797
AMERICAN RAILCAR INDS INC,165358
AMERICAN REALTY INVESTORS,1545
AMERICAN REBEL HOLDINGS INC,40723
AMERICAN RENAL ASSOCS HLDGS,26126
AMERICAN RES CORP,25589
AMERICAN RESIDENTIAL PPTYS,12006
AMERICAN RIVER BANKSHARES,60983
AMERICAN RIVIERA BANCORP,175449
AMERICAN SCIENCE ENGINEERING,1554
AMERICAN SHARED HSPTL SERV,1559
AMERICAN SOFTWARE  -CL A,1562
AMERICAN SOIL TECHNOLOGIES,66100
AMERICAN STATES WATER CO,9849
AMERICAN SUPERCONDUCTOR CP,24795
AMERICAN TIRE DISTRBTR HLDGS,145472
AMERICAN TOWER CORP,105365
AMERICAN VANGUARD CORP,1585
AMERICAN VIRTUAL CL TECH INC,32228
AMERICAN WATER WORKS CO INC,179437
AMERICAN WELL CORP,36950
AMERICAN WOODMARK CORP,12379
AMERICANN INC,18685
AMERICATOWNE HOLDINGS INC,116324
AMERICOLD REALTY TRUST,32980
AMERIGAS PARTNERS  -LP,61839
AMERINAC HOLDING CORP,106574
AMERIPRISE FINANCIAL INC,164708
AMERIQUEST INC -REDH,26505
AMERIS BANCORP,30222
AMERISAFE INC,164572
AMERISERV FINANCIAL INC/PA,17269
AMERISOURCEBERGEN CORP,31673
AMERITYRE CORP,63798
AMERN EAGLE OUTFITTERS INC,30059
AMES NATIONAL CORP,31718
AMESITE INC,36863
AMETEK INC,1598
AMGEN INC,1602
AMICUS THERAPEUTICS INC,175008
AMKOR TECHNOLOGY INC,110039
AMMO INC,36153
AMN HEALTHCARE SERVICES INC,144520
AMNEAL PHARMACEUTICALS INC,18888
AMPCO-PITTSBURGH CORP,1613
AMPHASTAR PHARMACEUTICLS INC,20659
AMPHENOL CORP,14282
AMPLIFY ENERGY CORP,194755
AMPLIFY SNACK BRANDS,24990
AMPLIPHI BIOSCIENCES CORP,30236
AMPLITECH GROUP INC,17396
AMPLITUDE INC,39555
AMREP CORP,1618
AMTECH SYSTEMS INC,8864
AMTRUST FINANCIAL SERVICES,166005
AMYLYX PHARMACEUTICALS INC,40470
AMYRIS INC,184717
ANACOR PHARMACEUTICALS INC,179438
ANADARKO PETROLEUM CORP,11923
ANADIGICS INC,31743
ANALOG DEVICES INC,1632
ANALOGIC CORP,1633
ANAPLAN INC,34236
ANAPTYSBIO INC,26162
ANCHOR BANCORP WISCONSIN INC,25570
ANCHOR BANCORP/WA,181515
ANDALAY SOLAR INC,174393
ANDEAVOR,10466
ANDEAVOR LOGISTICS LP,186206
ANDERSONS INC,1659
ANDREA ELECTRONICS CORP,1650
ANGI INC,32502
ANGIE'S LIST INC,188155
ANGIODYNAMICS INC,264387
ANGION BIOMEDICA CORP,20307
ANI PHARMACEUTICALS INC,18204
ANIKA THERAPEUTICS INC,28209
ANIXA BIOSCIENCES INC,12717
ANIXTER INTL INC,6196
ANN INC,21828
ANSYS INC,63080
ANTERIX INC,20961
ANTERO MIDSTREAM CORP,31109
ANTERO MIDSTREAM PARTNERS LP,19770
ANTERO RESOURCES CORP,18465
ANTHERA PHARMACEUTCLS INC,183879
ANWORTH MTG ASSET CORP,66654
ANYWHERE REAL ESTATE INC,174022
AOL INC,183920
AOXING PHARMACEUTICAL CO INC,124634
APA CORP,1678
APARTMENT INCOME REIT CORP,37489
APARTMENT INVST & MGMT CO,30490
APELLIS PHARMACEUTICALS,26359
APEX GLOBAL BRANDS INC,24096
API TECHNOLOGIES CORP,164099
APIGEE CORP,23423
APOGEE 21 HOLDINGS INC,185558
APOGEE ENTERPRISES INC,1686
APOLLO EDUCATION GROUP INC,31122
APOLLO ENDOSURGERY INC,29687
APOLLO GLOBAL MGMT INC,184254
APOLLO MEDICAL HLDG INC-OLD,119617
APOLLO MEDICAL HOLDING INC,32809
APOLLO SOLAR ENERGY INC,1681
APPALACHIAN POWER,1689
APPDYNAMICS INC-REDH,29630
APPFOLIO INC,24071
APPHARVEST INC,37946
APPIAN CORP,31236
APPLE HOSPITALITY REIT INC,23977
APPLE INC,1690
APPLIED DIGITAL CORP,146738
APPLIED DNA SCIENCES INC,106126
APPLIED ENERGETICS INC,25088
APPLIED GENETIC TECHNOLOGIES,19967
APPLIED INDUSTRIAL TECH INC,2101
APPLIED MATERIALS INC,1704
APPLIED MICRO CIRCUITS CORP,65904
APPLIED MINERALS INC,61054
APPLIED OPTOELECTRONICS INC,18564
APPLIED UV INC,36759
APPLOVIN CORP,38212
APPROACH RESOURCES INC,178798
APPTIO INC,27909
APRIA INC,37826
APRICUS BIOSCIENCES INC,62110
APT SYSTEMS INC,19093
APTARGROUP INC,28176
APTEVO THERAPEUTICS INC,27338
APTINYX INC,33643
APYX MEDICAL CORP,12719
AQUA METALS INC,24422
AQUABOUNTY TECHNOLOGIES INC,275862
AQUANTIA CORP,32524
ARADIGM CORP,63081
ARAMARK,186858
ARATANA THERAPEUTICS,17567
ARAVIVE INC,19832
ARC DOCUMENT SOLUTIONS INC,162076
ARC GROUP WORLDWIDE INC,13679
ARC LOGISTICS PARTNERS LP,18866
ARCADIA BIOSCIENCES INC,23098
ARCBEST CORP,1743
ARCH RESOURCES INC,14793
ARCH THERAPEUTICS INC,18121
ARCHAEA ENERGY INC,37164
ARCHER-DANIELS-MIDLAND CO,1722
ARCHERDX INC -REDH,36573
ARCHROCK INC,65009
ARCHROCK PARTNERS LP,175741
ARCIMOTO INC,32456
ARCONIC CORP,35978
ARCOSA INC,328795
ARCTIC CAT INC,22461
ARCUS BIOSCIENCES INC,33133
ARDELYX INC,20645
ARDENT HEALTH PARTNER -REDH,34526
AREM PACIFIC CORP,111402
ARENA GROUP HLDNGS INC (THE),29064
ARENA PHARMACEUTICALS INC,138122
ARES CAPITAL CORP,161966
ARES MANAGEMENT CORP,20412
ARETE INDUSTRIES INC,20180
ARGAN INC,8832
ARGOS THERAPEUTICS INC,187720
ARHAUS INC,39820
ARI NETWORK SERVICES INC,24670
ARIAD PHARMACEUTICALS INC,30674
ARIDIS PHARMACEUTICALS,33855
ARIS WATER SOLUTIN INC,39726
ARISTA FINANCIAL CORP,187100
ARISTA NETWORKS INC,20748
ARISTOCRAT GROUP CORP,170387
ARIZONA PUBLIC SERVICE CO,1742
ARK RESTAURANTS CORP,11872
ARKO CORP,312066
ARLINGTON ASSET INVESTMENT,66085
ARLO TECHNOLOGIES INC,33766
ARMADA HOFFLER PROPERTIES,17626
ARMANINO FOODS DISTINCTION,21506
ARMATA PHARMACEUTICALS INC,332115
ARMCO METALS HOLDINGS INC,178995
ARMORED AUTOGROUP INC,15148
ARMSTRONG FLOORING INC,26343
ARMSTRONG WORLD INDUSTRIES,175689
ARO LIQUIDATION INC,147661
AROTECH CORP,29762
ARQULE INC,63789
ARRAY BIOPHARMA INC,141197
ARRAY TECHNOLOGIES INC,37200
ARROW ELECTRONICS INC,1773
ARROW FINANCIAL CORP,16668
ARROWHEAD PHARMACEUTICAL INC,28806
ARROWMARK FINANCIAL CORP,19107
ARSANIS INC,32607
ARTEC GLOBAL MEDIA INC,18534
ARTERIS INC,39805
ARTESIAN RESOURCES  -CL A,17341
ARTHUR J GALLAGHER & CO,4973
ARTISAN PARTNERS ASSET MGMT,16113
ARTIVION INC,27823
ARTS WAY MFG INC,1783
ARTVENTIVE MEDICAL GROUP INC,184337
ARUBA NETWORKS INC,176781
ARVINAS INC,34077
ASANA INC,36964
ASB BANCORP INC,190567
ASB HAWAII INC -SPN,25425
ASBURY AUTOMOTIVE GROUP INC,144640
ASCENA RETAIL GROUP INC,4072
ASCENT CAPITAL GROUP INC,180821
ASCENT INDUSTRIES CO,10236
ASCENT SOLAR TECH INC,166460
ASENSUS SURGICAL INC,18666
ASGN INC,25749
ASHFORD HOSPITALITY TRUST,155754
ASHFORD INC,22119
ASHLAND INC,1794
ASIA EQUITY EXCHANGE GRP INC,27211
ASPEN AEROGELS INC,187550
ASPEN GROUP INC,170920
ASPEN TECHNOLOGY INC,30870
ASPIRA WOMENS HEALTH INC,140042
ASSEMBLY BIOSCIENCES INC,185289
ASSERTIO HOLDINGS INC,65944
ASSET ENTITIES INC,41545
ASSETMARK FIN HOLDINGS INC,34330
ASSOCIATED BANC-CORP,11842
ASSOCIATED CAPITAL GROUP INC,26413
ASSOCIATED ESTATES RLTY CORP,29164
ASSOCIATED MATERIALS LLC,66544
ASSURANT INC,157057
ASSURE HOLDINGS CORP,31653
AST SPACEMOBILE INC,38598
ASTA FUNDING INC,61544
ASTEA INTERNATIONAL INC,61069
ASTEC INDUSTRIES INC,12262
ASTERIAS BIOTHERAPEUTICS INC,21150
ASTORIA FINANCIAL CORP,29246
ASTRIA THERAPEUTICS INC,23980
ASTRONICS CORP,1823
ASTRONOVA INC,1820
ASTROTECH CORP,61766
ASURE SOFTWARE INC,25138
ASV HOLDINGS INC,31292
AT HOME GROUP INC,26144
AT&T INC,9899
ATARA BIOTHERAPEUTICS INC,21012
ATEA PHARMACEUTICALS INC,37292
ATERIAN INC,35210
ATHENAHEALTH INC,177930
ATHENEX INC,31405
ATHENS BANCSHARES CORP,184117
ATHERSYS INC,176017
ATI INC -NEW,10405
ATI PHYSICAL THERAPY INC,296677
ATKORE INC,27014
ATLANTIC AMERICAN CORP,16671
ATLANTIC CAP BANCSHARES INC,179048
ATLANTIC CITY ELECTRIC CO,14437
ATLANTIC COAST FINANCIAL CP,266216
ATLANTIC UNION BANKSHRS CRP,19713
ATLANTICUS HOLDINGS CORP,119714
ATLAS AIR WORLDWIDE HLDG INC,61155
ATLAS ENERGY GROUP LLC,166458
ATLAS HOLDINGS INC -REDH,33214
ATLAS LITHIUM CORP,18019
ATLAS PIPELINE PARTNER LP,144097
ATLAS TECHNICAL CONSULTANTS,36515
ATMEL CORP,23767
ATMOS ENERGY CORP,4383
ATN INTERNATIONAL INC,24708
ATOMERA INC,27737
ATOSSA THERAPEUTICS INC,185659
ATRICURE INC,163889
ATRION CORP,1234
ATRM HOLDINGS INC,28712
ATTIS INDUSTRIES INC,22136
ATWOOD OCEANICS,1860
ATYR PHARMA INC,23627
AUBURN BANCORP INC,180681
AUBURN NATIONAL BANCORP,61055
AUDACY INC,117902
AUDDIA INC,36089
AUDIENCE INC,170615
AUDIOEYE INC,17754
AUGMEDIX INC,38239
AULT ALLIANCE INC,64163
AURA SYSTEMS INC,14913
AURASOURCE INC,113090
AUTHENTIDATE HOLDING -OLD,25241
AUTHID INC,23001
AUTODESK INC,1878
AUTOLIV INC,64690
AUTOMATIC DATA PROCESSING,1891
AUTONATION INC,9063
AUTOSCOPE TECHNOLOGIES CORP,31775
AUTOWEB INC,119173
AUTOZONE INC,23809
AVADIM HEALTH INC -REDH,36023
AVALARA INC,33610
AVALO THERAPEUTICS INC,26149
AVALON GLOBOCARE CORP,34382
AVALON HOLDINGS CORP,110802
AVALONBAY COMMUNITIES INC,29875
AVANGRID INC,26658
AVANIR PHARMACEUTICALS INC,21776
AVANOS MEDICAL INC,21352
AVANT DIAGNOSTICS INC,22760
AVANTAX INC,116772
AVANTOR INC,35065
AVAYA HLDGS CORP,32855
AVAYA INC,139662
AVEANNA HCARE HOLD INC,38688
AVEDRO INC,34682
AVENUE FINANCIAL HOLDINGS,22868
AVEO PHARMACEUTICALS INC,184046
AVEPOINT INC,39157
AVERY DENNISON CORP,1913
AVIAT NETWORKS INC,176572
AVID BIOSERVICES INC,14603
AVID TECHNOLOGY INC,27925
AVIDBANK HOLDINGS INC,160753
AVIDITY BIOSCIENCE INC,36473
AVIDXCHANGE HOLDINGS INC,39685
AVIENT CORP,28194
AVIRAGEN THERAPEUTICS INC,210032
AVIS BUDGET GROUP INC,3278
AVISTA CORP,11304
AVIV REIT INC,180659
AVNET INC,1919
AVON PRODUCTS,1920
AVX CORP,1072
AWARE INC,63454
AXAR ACQUISITION CORP,21378
AXCELIS TECHNOLOGIES INC,137602
AXIALL CORP,12895
AXIM BIOTECHNOLOGIES INC,17716
AXIOM HOLDINGS INC,22142
AXION INTL HOLDINGS INC,12801
AXION POWER INTL INC,18576
AXOGEN INC,190355
AXON ENTERPRISE INC,143912
AXONICS INC,34342
AXOS FINANCIAL INC,162560
AXT INC,110760
AYRO INC,36535
AYTU BIOPHARMA INC,179461
AZEK COMPANY INC (THE),36193
AZENTA INC,31477
AZIYO BIOLOGICS INC,36985
AZURE MIDSTREAM PARTNERS LP,18427
AZZ INC,1926
B&G FOODS INC,158743
B-SCADA INC,182002
B. RILEY FINANCIAL INC,178073
B/E AEROSPACE INC,21487
BABCOCK & WILCOX ENTERPRISES,23865
BACKBLAZE INC,39910
BADGER METER INC,1968
BAIN CAP SPECIALTY FIN INC,34415
BAKER BOYER BANCORP,23554
BAKER HUGHES CO,32106
BAKER HUGHES INC,1976
BAKKEN RESOURCES INC,186019
BAKKT HOLDINGS INC,39909
BALCHEM CORP  -CL B,1979
BALL CORP,1988
BALLAST PT BREWING -REDH,26377
BALLY TECHNOLOGIES INC,12075
BALLYS CORP,27240
BALTIMORE GAS & ELECTRIC CO,144580
BANC OF CALIFORNIA INC,149618
BANCFIRST CORP/OK,28022
BANCORP 34 INC,28525
BANCORP INC,158587
BANCORP OF NEW JERSEY INC,180169
BANDWIDTH INC,32571
BANK FIRST CORP,150803
BANK KY FINANCIAL CORP,62972
BANK MUTUAL CORP,140983
BANK OF AMERICA CORP,7647
BANK OF BOTETOURT BUCHANAN,154499
